D,V
1289.442,21.030
1289.745,21.228
1290.049,20.832
1290.352,21.228
1290.655,21.188
1290.959,21.267
1291.262,30.653
1291.566,21.188
1291.869,21.109
1292.172,20.594
1292.476,30.376
1292.779,21.069
1293.083,19.327
1293.386,48.475
1293.689,19.644
1293.993,18.099
1294.296,18.059
1294.600,18.099
1294.903,49.149
1295.206,18.812
1295.510,18.535
1295.813,18.812
1296.117,18.931
1296.420,19.010
1296.723,30.851
1297.027,19.525
1297.330,48.158
1297.633,30.614
1297.937,19.960
1298.240,19.960
1298.544,19.881
1298.847,20.594
1299.150,20.079
1299.454,20.515
1299.757,21.188
1300.061,20.752
1300.364,20.950
1300.667,21.624
1300.971,21.584
1301.274,21.822
1301.578,48.000
1301.881,48.040
1302.184,30.653
1302.488,21.663
1302.791,21.980
1303.095,21.267
1303.398,21.267
1303.701,49.188
1304.005,21.386
1304.308,20.752
1304.612,21.149
1304.915,20.911
1305.218,47.208
1305.522,47.208
1305.825,20.554
1306.129,47.208
1306.432,47.168
1306.735,21.069
1307.039,22.020
1307.342,21.149
1307.646,22.059
1307.949,47.010
1308.252,30.970
1308.556,21.663
1308.859,21.347
1309.163,46.891
1309.466,21.307
1309.769,20.515
1310.073,20.356
1310.376,20.317
1310.680,30.376
1310.983,20.436
1311.286,20.515
1311.590,20.911
1311.893,46.733
1312.197,46.772
1312.500,21.980
1312.803,21.426
1313.107,21.267
1313.410,22.178
1313.714,46.851
1314.017,47.050
1314.320,47.089
1314.624,22.218
1314.927,21.941
1315.231,21.703
1315.534,47.129
1315.837,21.267
1316.141,21.347
1316.444,21.624
1316.748,21.109
1317.051,21.069
1317.354,21.267
1317.658,47.089
1317.961,20.871
1318.265,21.267
1318.568,20.911
1318.871,20.792
1319.175,20.871
1319.478,21.624
1319.782,47.010
1320.085,21.861
1320.388,46.891
1320.692,22.020
1320.995,46.772
1321.299,22.218
1321.602,22.020
1321.905,22.178
1322.209,30.931
1322.512,46.614
1322.816,21.901
1323.119,46.614
1323.422,22.178
1323.726,21.941
1324.029,21.941
1324.333,21.703
1324.636,21.743
1324.939,21.782
1325.243,46.851
1325.546,46.891
1325.850,21.545
1326.153,21.505
1326.456,21.505
1326.760,47.129
1327.063,21.347
1327.367,21.307
1327.670,21.307
1327.973,21.030
1328.277,21.307
1328.580,20.950
1328.883,20.911
1329.187,46.891
1329.490,20.950
1329.794,21.307
1330.097,20.950
1330.400,21.347
1330.704,21.228
1331.007,21.505
1331.311,21.782
1331.614,46.851
1331.917,21.941
1332.221,46.851
1332.524,30.931
1332.828,22.099
1333.131,21.505
1333.434,46.851
1333.738,21.743
1334.041,21.149
1334.345,21.426
1334.648,21.426
1334.951,21.267
1335.255,21.584
1335.558,46.693
1335.862,21.228
1336.165,21.188
1336.468,21.822
1336.772,21.267
1337.075,20.752
1337.379,20.792
1337.682,20.950
1337.985,20.475
1338.289,46.416
1338.592,20.436
1338.896,73.069
1339.199,20.713
